# Time (s),Q1 (%),T1 Setpoint (°C),T1 (°C),Q2 (%),T2 Setpoint (°C),T2 (°C)
1.242099999999999937e+02,4.177419900000010244e+01,5.000000000000000000e+01,4.931189999999999429e+01,5.514922400000003933e+01,4.000000000000000000e+01,3.932059999999999889e+01
1.252000000000000028e+02,4.187638185000010083e+01,5.000000000000000000e+01,4.931189999999999429e+01,5.526132500000004200e+01,4.000000000000000000e+01,3.932059999999999889e+01
1.262300000000000040e+02,3.903219795000011771e+01,5.000000000000000000e+01,4.963419999999999277e+01,5.537795533333338227e+01,4.000000000000000000e+01,3.932059999999999889e+01
1.272199999999999989e+02,3.908651925000011573e+01,5.000000000000000000e+01,4.963419999999999277e+01,5.549005633333337784e+01,4.000000000000000000e+01,3.932059999999999889e+01
1.281800000000000068e+02,3.913919445000011876e+01,5.000000000000000000e+01,4.963419999999999277e+01,5.559876033333337375e+01,4.000000000000000000e+01,3.932059999999999889e+01
1.292299999999999898e+02,3.919680795000012097e+01,5.000000000000000000e+01,4.963419999999999277e+01,5.243825283333339371e+01,4.000000000000000000e+01,3.964289999999999736e+01
1.300699999999999932e+02,3.924289875000012273e+01,5.000000000000000000e+01,4.963419999999999277e+01,5.248824683333339181e+01,4.000000000000000000e+01,3.964289999999999736e+01
1.312299999999999898e+02,3.930654795000012314e+01,5.000000000000000000e+01,4.963419999999999277e+01,5.255728616666672792e+01,4.000000000000000000e+01,3.964289999999999736e+01
1.321999999999999886e+02,3.935977185000012213e+01,5.000000000000000000e+01,4.963419999999999277e+01,5.261501733333339104e+01,4.000000000000000000e+01,3.964289999999999736e+01
1.330399999999999920e+02,3.646455285000007507e+01,5.000000000000000000e+01,4.995649999999999835e+01,5.266501133333338913e+01,4.000000000000000000e+01,3.964289999999999736e+01
1.342400000000000091e+02,3.647238285000007352e+01,5.000000000000000000e+01,4.995649999999999835e+01,5.273643133333338540e+01,4.000000000000000000e+01,3.964289999999999736e+01
1.352100000000000080e+02,3.647871210000007380e+01,5.000000000000000000e+01,4.995649999999999835e+01,5.279416250000005562e+01,4.000000000000000000e+01,3.964289999999999736e+01
1.362199999999999989e+02,3.648530235000007593e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.957702050000006722e+01,4.000000000000000000e+01,3.996519999999999584e+01
1.372199999999999989e+02,3.649182735000007227e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.958282050000006791e+01,4.000000000000000000e+01,3.996519999999999584e+01
1.381699999999999875e+02,3.649802610000007519e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.958833050000006892e+01,4.000000000000000000e+01,3.996519999999999584e+01
1.391500000000000057e+02,3.650442060000007416e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.959401450000007117e+01,4.000000000000000000e+01,3.996519999999999584e+01
1.402299999999999898e+02,3.651146760000007419e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.960027850000006566e+01,4.000000000000000000e+01,3.996519999999999584e+01
1.411999999999999886e+02,3.651779685000006737e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.960590450000006513e+01,4.000000000000000000e+01,3.996519999999999584e+01
1.422299999999999898e+02,3.652451760000006686e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.961187850000005994e+01,4.000000000000000000e+01,3.996519999999999584e+01
1.432199999999999989e+02,3.653097735000007162e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.961762050000005786e+01,4.000000000000000000e+01,3.996519999999999584e+01
1.441999999999999886e+02,3.653737185000007059e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.962330450000006010e+01,4.000000000000000000e+01,3.996519999999999584e+01
1.452199999999999989e+02,3.654402735000007141e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.962922050000006635e+01,4.000000000000000000e+01,3.996519999999999584e+01
1.462299999999999898e+02,3.655061760000007354e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.635782466666675106e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.471800000000000068e+02,3.655681635000007645e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.631230383333341649e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.482299999999999898e+02,3.656366760000007332e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.954139383333340163e+01,4.000000000000000000e+01,3.996519999999999584e+01
1.491100000000000136e+02,3.656940960000007834e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.627622716666675728e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.501299999999999955e+02,3.657606510000007916e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.622735216666675484e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.512400000000000091e+02,3.658330785000007523e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.617416466666675490e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.521999999999999886e+02,3.658957185000007684e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.612816466666675552e+01,4.000000000000000000e+01,4.028749999999999432e+01
1.531699999999999875e+02,3.659590110000007712e+01,5.000000000000000000e+01,4.995649999999999835e+01,4.608168550000009134e+01,4.000000000000000000e+01,4.028749999999999432e+01
