# Time (s), Heater (%), T1 (°C)
3.550000000000000000e+02,2.000000000000000000e+01,4.455299999999999727e+01
3.560000000000000000e+02,2.000000000000000000e+01,4.445600000000000307e+01
3.570000000000000000e+02,2.000000000000000000e+01,4.445600000000000307e+01
3.580099999999999909e+02,2.000000000000000000e+01,4.442399999999999949e+01
3.590000000000000000e+02,2.000000000000000000e+01,4.442399999999999949e+01
3.600000000000000000e+02,2.000000000000000000e+01,4.442399999999999949e+01
3.610000000000000000e+02,2.000000000000000000e+01,4.419800000000000040e+01
3.620099999999999909e+02,2.000000000000000000e+01,4.413400000000000034e+01
3.630099999999999909e+02,2.000000000000000000e+01,4.410199999999999676e+01
3.640000000000000000e+02,2.000000000000000000e+01,4.406900000000000261e+01
3.650000000000000000e+02,2.000000000000000000e+01,4.403699999999999903e+01
3.660000000000000000e+02,2.000000000000000000e+01,4.397299999999999898e+01
3.670000000000000000e+02,2.000000000000000000e+01,4.381199999999999761e+01
3.680000000000000000e+02,2.000000000000000000e+01,4.377900000000000347e+01
3.690000000000000000e+02,2.000000000000000000e+01,4.377900000000000347e+01
3.700000000000000000e+02,2.000000000000000000e+01,4.374699999999999989e+01
3.710099999999999909e+02,2.000000000000000000e+01,4.377900000000000347e+01
3.720099999999999909e+02,2.000000000000000000e+01,4.348899999999999721e+01
3.730099999999999909e+02,2.000000000000000000e+01,4.352100000000000080e+01
3.740099999999999909e+02,2.000000000000000000e+01,4.345700000000000074e+01
3.750000000000000000e+02,2.000000000000000000e+01,4.345700000000000074e+01
3.760099999999999909e+02,2.000000000000000000e+01,4.342499999999999716e+01
3.770099999999999909e+02,2.000000000000000000e+01,4.332800000000000296e+01
3.780099999999999909e+02,2.000000000000000000e+01,4.323100000000000165e+01
3.790000000000000000e+02,2.000000000000000000e+01,4.316700000000000159e+01
3.800000000000000000e+02,2.000000000000000000e+01,4.316700000000000159e+01
3.810099999999999909e+02,2.000000000000000000e+01,4.316700000000000159e+01
3.820000000000000000e+02,2.000000000000000000e+01,4.310300000000000153e+01
3.830099999999999909e+02,2.000000000000000000e+01,4.310300000000000153e+01
3.840000000000000000e+02,2.000000000000000000e+01,4.294100000000000250e+01
3.850000000000000000e+02,2.000000000000000000e+01,4.284499999999999886e+01
3.860099999999999909e+02,2.000000000000000000e+01,4.284499999999999886e+01
3.870000000000000000e+02,2.000000000000000000e+01,4.284499999999999886e+01
3.880000000000000000e+02,2.000000000000000000e+01,4.284499999999999886e+01
3.890000000000000000e+02,2.000000000000000000e+01,4.278000000000000114e+01
3.900099999999999909e+02,2.000000000000000000e+01,4.261899999999999977e+01
3.910000000000000000e+02,2.000000000000000000e+01,4.271600000000000108e+01
3.920000000000000000e+02,2.000000000000000000e+01,4.255499999999999972e+01
3.930000000000000000e+02,2.000000000000000000e+01,4.252199999999999847e+01
3.940099999999999909e+02,2.000000000000000000e+01,4.252199999999999847e+01
3.950000000000000000e+02,2.000000000000000000e+01,4.249000000000000199e+01
3.960000000000000000e+02,2.000000000000000000e+01,4.239399999999999835e+01
3.970000000000000000e+02,2.000000000000000000e+01,4.229699999999999704e+01
3.980099999999999909e+02,2.000000000000000000e+01,4.223199999999999932e+01
3.990000000000000000e+02,2.000000000000000000e+01,4.223199999999999932e+01
4.000000000000000000e+02,6.000000000000000000e+01,4.223199999999999932e+01
4.010099999999999909e+02,6.000000000000000000e+01,4.213600000000000279e+01
4.020099999999999909e+02,6.000000000000000000e+01,4.216799999999999926e+01
4.030000000000000000e+02,6.000000000000000000e+01,4.213600000000000279e+01
4.040099999999999909e+02,6.000000000000000000e+01,4.213600000000000279e+01
4.050000000000000000e+02,6.000000000000000000e+01,4.220000000000000284e+01
4.060000000000000000e+02,6.000000000000000000e+01,4.200699999999999790e+01
4.070099999999999909e+02,6.000000000000000000e+01,4.200699999999999790e+01
4.080000000000000000e+02,6.000000000000000000e+01,4.213600000000000279e+01
4.090000000000000000e+02,6.000000000000000000e+01,4.197500000000000142e+01
4.100000000000000000e+02,6.000000000000000000e+01,4.197500000000000142e+01
4.110000000000000000e+02,6.000000000000000000e+01,4.197500000000000142e+01
4.120000000000000000e+02,6.000000000000000000e+01,4.207099999999999795e+01
4.130099999999999909e+02,6.000000000000000000e+01,4.194200000000000017e+01
4.140000000000000000e+02,6.000000000000000000e+01,4.203900000000000148e+01
4.150099999999999909e+02,6.000000000000000000e+01,4.203900000000000148e+01
4.160099999999999909e+02,6.000000000000000000e+01,4.207099999999999795e+01
4.170000000000000000e+02,6.000000000000000000e+01,4.220000000000000284e+01
4.180000000000000000e+02,6.000000000000000000e+01,4.210399999999999920e+01
4.190099999999999909e+02,6.000000000000000000e+01,4.213600000000000279e+01
4.200000000000000000e+02,6.000000000000000000e+01,4.220000000000000284e+01
4.210099999999999909e+02,6.000000000000000000e+01,4.213600000000000279e+01
4.220099999999999909e+02,6.000000000000000000e+01,4.226500000000000057e+01
4.230099999999999909e+02,6.000000000000000000e+01,4.213600000000000279e+01
4.240099999999999909e+02,6.000000000000000000e+01,4.229699999999999704e+01
4.250099999999999909e+02,6.000000000000000000e+01,4.239399999999999835e+01
4.260099999999999909e+02,6.000000000000000000e+01,4.249000000000000199e+01
4.270000000000000000e+02,6.000000000000000000e+01,4.245799999999999841e+01
4.280000000000000000e+02,6.000000000000000000e+01,4.249000000000000199e+01
4.290000000000000000e+02,6.000000000000000000e+01,4.258700000000000330e+01
4.300099999999999909e+02,6.000000000000000000e+01,4.265100000000000335e+01
4.310099999999999909e+02,6.000000000000000000e+01,4.278000000000000114e+01
4.320099999999999909e+02,6.000000000000000000e+01,4.278000000000000114e+01
4.330000000000000000e+02,6.000000000000000000e+01,4.281300000000000239e+01
4.340099999999999909e+02,6.000000000000000000e+01,4.284499999999999886e+01
4.350000000000000000e+02,6.000000000000000000e+01,4.294100000000000250e+01
4.360099999999999909e+02,6.000000000000000000e+01,4.287700000000000244e+01
4.370099999999999909e+02,6.000000000000000000e+01,4.297399999999999665e+01
4.380000000000000000e+02,6.000000000000000000e+01,4.310300000000000153e+01
4.390000000000000000e+02,6.000000000000000000e+01,4.313499999999999801e+01
4.400000000000000000e+02,6.000000000000000000e+01,4.323100000000000165e+01
4.410000000000000000e+02,6.000000000000000000e+01,4.332800000000000296e+01
4.420000000000000000e+02,6.000000000000000000e+01,4.342499999999999716e+01
4.430000000000000000e+02,6.000000000000000000e+01,4.342499999999999716e+01
4.440000000000000000e+02,6.000000000000000000e+01,4.348899999999999721e+01
4.450099999999999909e+02,6.000000000000000000e+01,4.361800000000000210e+01
4.460000000000000000e+02,6.000000000000000000e+01,4.374699999999999989e+01
4.470099999999999909e+02,6.000000000000000000e+01,4.377900000000000347e+01
4.480099999999999909e+02,6.000000000000000000e+01,4.381199999999999761e+01
4.490099999999999909e+02,6.000000000000000000e+01,4.393999999999999773e+01
4.500099999999999909e+02,6.000000000000000000e+01,4.406900000000000261e+01
4.510000000000000000e+02,6.000000000000000000e+01,4.410199999999999676e+01
